Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
JPV-10DN,AVLH-2 Avalahalli BDA Park Girinagara,KBS123 Kempegowda Bus Station,6,6,100.0,89,455,19.56044
258-MUP,NMG0 Nelamangala Bus Station,TMG2 Thyamagondlu,17,40,42.5,334,3158,10.576315
327DN,HALMG-1 HAL Main Gate (Towards Murugeshpalya),KRM4 KR Market,9,20,45.0,262,4175,6.275449
88-E KHODAYSDN,SHL4 Shivanahalli 4th Main,kcle Kodays Circle,3,6,50.0,31,69,44.927536
KBS-CHMUP,KBS1 Kempegowda Bus Station,CNTRL Central,2,2,100.0,3,3,100.0
296-TDN,KCHK1 Kacharakanahalli,KBS123 Kempegowda Bus Station,9,10,90.0,90,502,17.928288
342-EUP,KMT1 KR Market (Kalasipalya),SJPBSND Sarjapura,17,19,89.47369,33,308,10.714286
PSS-SDMNUP,JHC2 Jalahalli Cross,KGHB2 Kammagondanahalli Bridge,2,3,66.66667,4,7,57.14286
SBS-RKHUP,NGW Nagavara,TLBSD Thanisandra,2,8,25.0,30,235,12.765958
YMD-HBLDN,NES1 NES Office,ALSG1 Allalasandra Gate (Towards Hebbala),2,6,33.333336,2,5,40.0
255UP,JHC Jalahalli Cross,MF Marison Factory,2,17,11.764706,58,922,6.290673
PSB-KRPDN,RMNALDM Ramamurthy Nagara Alada Mara,KRPG KR Puram Govt Hospital,2,12,16.666668,111,522,21.264368
SBS-ACCB6UP,DMLUR Domlur (Towards HAL),HALMG HAL Main Gate (Towards Marathahalli Bridge),2,10,20.0,19,81,23.456789
317-MADN,KRPM KR Puram Market,TIF Tin Factory,2,14,14.285715,12,107,11.214952
290-FDN,NGW Nagavara,TLBSD Thanisandra,3,17,17.647058,128,974,13.141685
BSK-KGPUP,BSKTTMC1 Banashankari TTMC,UDYP Udipalya,8,9,88.88889,5,35,14.285715
305-JDN,KRM4 KR Market,GRDP Garudacharpalya,10,17,58.823532,30,378,7.936508
RNKH-KDBHUP,KRPRLY Railway Station KR Puram,MDHPRG3 Mahadevapura Ring Road,2,7,28.57143,10,43,23.255816
80EDN,RJN1B 1st Block Rajajinagara,KBS123 Kempegowda Bus Station,4,6,66.66667,13,76,17.105263
360-EUP,ELC3 Electronic City (Towards Attibele),HBGDI Hebbagodi,2,25,8.0,47,918,5.1198254
378NUP,KKTC Konanakunte Cross,KGR2 Kengeri TTMC,7,19,36.842106,80,877,9.122006
285-NDN,RJNKT Rajanukunte,NES1 NES Office,5,17,29.411766,20,270,7.4074073
DBT-D16CLODN,SNH3 Sonnenahalli,MRPLYA Mariyappanapalya,2,6,33.333336,15,73,20.547945
SNR-MSPDN,SNR Srinagara Bus Station,LGHM Lalbagh Main Gate,4,12,33.333336,51,164,31.09756
ANK-D25GDN,BTLCLG BTL College,HSRA2 SI Apartment HSR Layout,8,9,88.88889,3,21,14.285715
KBS-HAL LCAUP,MAO Military Accounts Office,HALMG HAL Main Gate (Towards Marathahalli Bridge),2,2,100.0,1,1,100.0
381-DUP,tinf Tin Factory,KRPM-1 KR Puram Market,2,22,9.090909,158,1565,10.095846
KBS-JFWTCUP,MTHB-1 Marathahalli Bridge,KUDGT Kundalahalli Gate,2,12,16.666668,10,45,22.222223
60-EUP,JTTMC Jayanagara TTMC,CMRJPT Chamarajapet (Towards Ganesh Bhavana),4,10,40.0,258,2040,12.647059
268UP,KRM4 KR Market,MTKR Mattikere,8,15,53.333336,65,802,8.104738
AAH-KBSDN,HBL1 Hebbala (Towards RM Guttahalli),KBS123 Kempegowda Bus Station,4,11,36.363636,6,53,11.320755
323-JUP,SBS0 Shivajinagara Bus Station,KDLGTE Kundalahalli Gate,9,17,52.941177,68,1122,6.060606
248-CUP,SKK Sunkadakatte,HGHMD Hegganahalli (Towards Peenya 2nd Stage),8,11,72.72727,70,306,22.875816
317-ZUP,KNRHLI Kannurahalli,KGHSI Khaji Hosalli,6,19,31.578945,8,26,30.769232
KDG-MSCUP,HOFM Hope Farm (Towards ITPL),SJRH Sathya Sai Hospital,2,7,28.57143,2,5,40.0
BEML5-JGN 600FCUP,BTM16 16th Main BTM Layout ,BMH2 Bommanahalli (Towards Electronic City),2,15,13.333334,5,47,10.638298
502KUP,JLCR1 Jalahalli Cross,BGLG Bagalagunte (Towards Chikkabanavara),2,18,11.111112,214,2938,7.2838664
342-VUP,KAIK1 Kaikondrahalli,DKKSJP1 Doddakannalli,2,19,10.526316,31,725,4.275862
GTG-BSKUP,GTR1 Gottigere (Towards Kalena Agrahara),HMG Hulimavu Gate (Towards Jayadeva Hospital),2,5,40.0,10,17,58.823532
241-CBUP,SKK Sunkadakatte,BDH2 Byadarahalli (Towards Gollarahatti),2,11,18.181818,109,1068,10.205993
KBS-KRMBSUP,KBS1 Kempegowda Bus Station,KRMBJRM CS-Koramangala Bajaj Show Room,7,7,100.0,25,73,34.246574
287-RUP,BDPLYT1 Bhadrappa Layout (Towards TATA Nagara),TATANR Tata Nagara,2,10,20.0,1,1,100.0
258-QAUP,KBS1 Kempegowda Bus Station,NMG0 Nelamangala Bus Station,16,19,84.210526,68,940,7.234043
BSK-MLSUP,BTM16 16th Main BTM Layout ,BMH0 Bommanahalli (Towards Beguru),2,7,28.57143,45,169,26.627218
15-EDN,KRMARK KR Market,KBS123 Kempegowda Bus Station,3,9,33.333336,1001,8388,11.933715
CNS-VTTMCDN,MTBH-2 Marathahalli Bridge,BLDR Bellanduru City Light Appartment ,3,15,20.0,25,265,9.433963
364HUP,END East End Jayanagara (Towards BTM Layout),BLKLLI Bilekahalli,2,11,18.181818,39,424,9.198113
KVB-NVGUP,KBR Kaval Byrasandra,RTN12 Police Station RT Nagara ,2,9,22.222223,71,517,13.733075
286-GUP,KBS1 Kempegowda Bus Station,HBL Hebbala (Towards Yalahanka),5,9,55.555557,31,212,14.6226425
MBS-9DN,KML3 Kumaraswamy Layout,KBS1 Kempegowda Bus Station,10,22,45.454548,57,863,6.6048665
24-FUP,KRMT1 KR Market,JBS4th Jayanagara 4th Block,4,7,57.14286,190,674,28.189913
296-BUP,KBS1 Kempegowda Bus Station,HNRCR Hennur Cross (Towards HBR Layout 5th Block),8,9,88.88889,133,690,19.275362
ITCJ-JCN-KRMTTCUP,VVKC3 Vivek Nagara Cross,KMGLTTMC1 Koramangala TTMC,3,9,33.333336,7,42,16.666668
G-10DN,TLBS Thanisandra,NGW1 Nagavara,2,11,18.181818,261,2706,9.645232
284-CDN,SVNDS2 Shivananda Store,KBS1 Kempegowda Bus Station,2,11,18.181818,70,440,15.909091
252-PSDN,PSBS1 Basaveshwara Satellite Bus Station,YTTMC1 Yashawanthapura TTMC,4,7,57.14286,11,72,15.277778
333-DDN,ASP1 Ashwathpura,KBS123 Kempegowda Bus Station,11,11,100.0,96,618,15.53398
362-JUP,KPGT6 Koppa Gate,JGN0 Jigani Bus Stand,3,23,13.043478,1,1,100.0
248FUP,KMKPL Kamakshipalya,HGHMD Hegganahalli (Towards Peenya 2nd Stage),4,9,44.444447,8,61,13.114754
DGB-KLNDN,GEDH Geddalahalli (Towards Hennur),KLNB Kalyananagara Bus Stand,3,4,75.0,7,19,36.842106
197UP,RTNPS2 Police Station RT Nagara ,SLTPL Sultanpalya,2,11,18.181818,58,437,13.272311
245GADN,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,13,15.384616,14,189,7.4074073
401-BCUP,MTKR Mattikere,NJPAC Nanjappa Circle,5,11,45.454548,6,34,17.647058
304-PUP,PTAGC Pattandur Agrahara Gate,HOF Hope Farm (Towards Chikka Thirupathi),2,21,9.523809,25,387,6.4599485
D31G-JHCUP,SKK Sunkadakatte,PSS Peenya 2nd Stage,3,4,75.0,6,14,42.857143
210-BUP,SECRL South End Circle,BSKTTMC0 Banashankari TTMC,2,8,25.0,76,450,16.888887
280-KDN,HBL1 Hebbala (Towards RM Guttahalli),KBS123 Kempegowda Bus Station,5,14,35.714287,91,777,11.711712
401MDN,P[DP Papareddypalya,KTP1 Kottigepalya,2,16,12.5,356,5077,7.012015
401-PDN,MTKR1 Mattikere,YTTMC Yashawanthapura TTMC,2,2,100.0,1,1,100.0
BEML-AGR-PRPUP,AGRJ Agara Junction,PRGP8 Parangipalya,2,7,28.57143,3,5,60.000004
TTN-SBSUP,MKC1 Mekhri Circle,SBS1 Shivajinagara Bus Station,5,8,62.5,30,105,28.57143
KMT-BEMLUP,KRM4 KR Market,HLS-1 Halasuru,4,7,57.14286,4,16,25.0
349-LUP,MDWMK Madivala,BMH2 Bommanahalli (Towards Electronic City),3,17,17.647058,33,555,5.9459457
600-CDN,BMH4 Bommanahalli (Towards St Johns),BSKTTMC0 Banashankari TTMC,9,20,45.0,868,10509,8.259587
MGMS-KLNBDN,SBS0 Shivajinagara Bus Station,KARCH1 Kacharakanahalli,2,2,100.0,3,3,100.0
BEL-KLNDN,BELCR2 BEL Circle (Towards Hebbala),jnon Jn of Nagawara,3,4,75.0,1,1,100.0
SJRB-JBSDN,AGRA Agara (Towards Hebbala),BTM16th 16th Main BTM Layout ,4,6,66.66667,5,22,22.727274
269-BUP,KBS1 Kempegowda Bus Station,VRP Vidyaranyapura Bus Station,9,9,100.0,24,96,25.0
253-KDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC3 Jalahalli Cross,5,34,14.705883,36,460,7.826087
HLG-ELC WIPROUP,HLGE Heelalige,HBGDI1 Hebbagodi,4,6,66.66667,66,184,35.869564
161-BDN,RICHMD Richmond Circle,SBS1 Shivajinagara Bus Station,2,4,50.0,4,9,44.444447
500EDN,TNF Tin Factory,HBLB Hebbala Bridge (Towards Bhadrappa Layout),9,9,100.0,24,104,23.076923
V-502GDN,ITPL ITPL,KASTN Kasthuri Nagara Ring Road,6,16,37.5,60,326,18.40491
KBS-KRMTTMC 146UP,AUTTN Austin Town,VNRPT Vannarapet,2,4,50.0,6,11,54.545456
VJNT-KBS-JBNUP,TPS2 Thippasandra,JVBN Jeevanbheema Nagara,2,12,16.666668,12,55,21.818182
CJP-ELCWUP,ELC356cw Electronic City (Towards Wipro Gate),ELCWG ELC Wipro Gate,2,21,9.523809,1,1,100.0
ISRO-BSKDN,KML3 Kumaraswamy Layout,BSKTTMC0 Banashankari TTMC,3,4,75.0,17,36,47.22222
345-CUP,KMT1 KR Market (Kalasipalya),HNSRA Hongasandra,9,16,56.25,106,866,12.240185
242-XUP,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,15,13.333334,17,123,13.821138
354-BUP,HBGDI Hebbagodi,BTLC BTL College,2,20,10.0,10,53,18.867926
269DN,RMCPR12 Ramachandrapura,BELCRL BEL Circle (Towards Mathikere),2,10,20.0,102,759,13.438736
248-DDN,JHC2 Jalahalli Cross,KMGH Kammagondanahalli Bridge,2,11,18.181818,81,349,23.20917
401-MCUP,GGPL Goraguntepalya (Towards Jalahalli Cross),KTP Kottigepalya,6,23,26.086956,190,3912,4.8568506
SNR-YBS TR12UP,KRMARK KR Market,RJN6B 6th Block Rajajinagara,3,8,37.5,36,120,30.000002
241-MUP,NYKNPL12 Nayakanapalya,SVNDG Savandurga,2,30,6.666667,40,626,6.3897767
36-DDN,KMT5 KR Market,KBS123 Kempegowda Bus Station,3,7,42.857143,118,861,13.704994
258-NDN,SBS0 Shivajinagara Bus Station,YTTMC Yashawanthapura TTMC,6,17,35.294117,27,426,6.338028
KMT-BMTC COUP,CRP12 Corporation (Towards Subbiah Circle),SNTTMC3 Shanthinagara TTMC,2,2,100.0,1,1,100.0
242VDN,PRDPL Puradapalya,MGDTLG Magadi Road TollGate ,5,6,83.33333,1,1,100.0
138 VSDUP,JVBN Jeevanbheema Nagara,KFCPS3 Police Station Indiranagara,3,7,42.857143,18,50,36.0
323-DNDN,CKTPI Chikka Thirupathi,SJRSTP Sarjapura,7,17,41.17647,48,383,12.532637
CNP-ANK 366ZDN,SDP5 Siddanapalya,ANKL Anekal,5,5,100.0,8,42,19.047619
223-PAUP,VJN Vijayanagara,MDLPLYA Moodalapalya,2,9,22.222223,144,970,14.845361
240-CDN,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,12,16.666668,79,859,9.19674
V-500ADN,KLMD12 Marathahalli Bridge,BLDR Bellanduru City Light Appartment ,7,34,20.588236,690,7021,9.82766
80-KDN,NLO1 Nandini Layout Bus Stand,RJN1B 1st Block Rajajinagara,2,5,40.0,188,691,27.206945
KBS-KGP 226UP,KBS1 Kempegowda Bus Station,KGR2 Kengeri TTMC,7,17,41.17647,45,444,10.135135
BSK-KDGUP,SDAPRA Siddapura,WFPO1 White Field Post Office,3,13,23.076923,3,7,42.857143
VDH-KMTDN,RGHL1 Raghuvanahalli Cross,BSKTTMC1 Banashankari TTMC,4,13,30.769232,28,325,8.615384
HBL-ACITUP,JPA Janapriya Apartment,AIOT1 Acharya Institute of Technology,2,5,40.0,18,37,48.64865
231-AUP,KMT1 KR Market (Kalasipalya),KGR2 Kengeri TTMC,6,15,40.0,34,365,9.315068
356CW-FlyUP,SIA1 SI Apartment HSR Layout,ELCWG ELC Wipro Gate,6,7,85.71429,5948,6190,96.09047
KIAS-8UP,MTDB Marathahalli Bridge,KIAS Kempegowda International Airport,13,29,44.827587,264,1883,14.020181
KDG-BTML 500FUP,MTBH-2 Marathahalli Bridge,BLDR Bellanduru City Light Appartment ,3,7,42.857143,3,8,37.5
369-QUP,END East End Jayanagara (Towards BTM Layout),BLKLLI Bilekahalli,2,6,33.333336,4,16,25.0
306-DDN,PAG Pattandur Agrahara Gate,HODC Hoodi (Towards ITPL),2,18,11.111112,96,987,9.726444
402-D VSDDN,YST5thPH 5th Phase Yalahanka New Town ,KBS123 Kempegowda Bus Station,12,12,100.0,13,102,12.745099
ORRCA 9-CPRDN,AECSL AECS Layout Cross,BLDR Bellanduru City Light Appartment ,3,6,50.0,5,12,41.666664
245-EUP,SKK Sunkadakatte,BDH2 Byadarahalli (Towards Gollarahatti),2,15,13.333334,88,1177,7.4766355
357-ADN,HBGDI1 Hebbagodi,ELC Electronic City (Towards Bommanahalli),3,24,12.5,38,606,6.270627
CSB-KNLUP,D-25 Depot-25 Gate (Towards Hebbala),AGRA1 Jn of Agara,2,2,100.0,1,1,100.0
330-EUP,SBS0 Shivajinagara Bus Station,DMLUR Domlur (Towards HAL),4,9,44.444447,39,373,10.455764
270-ADN,JHC2 Jalahalli Cross,BELCRL BEL Circle (Towards Mathikere),5,14,35.714287,145,1173,12.361466
RJK-SBSDN,TLBS Thanisandra,NGW1 Nagavara,2,6,33.333336,13,17,76.47059
YBS-D-34 GATEUP,JBS4thB Jayanagara 4th Block,KDGT1 Kothanuru Dinne Ganesha Temple,5,6,83.33333,15,45,33.333336
BMT13-CPRUP,BTM16 16th Main BTM Layout ,KDG Kudlu Gate,3,11,27.272728,11,62,17.741936
272-EUP,SBS0 Shivajinagara Bus Station,MTKR Mattikere,7,11,63.636364,66,474,13.92405
VGN-VSD-SBSUP,VGN Vigneshwara Nagara,SKDKT1 Sunkadakatte,2,11,18.181818,7,68,10.294118
CSBS-RKA-KMT-HBLUP,KBS1 Kempegowda Bus Station,NGH Nagashettyhalli,5,9,55.555557,64,138,46.376812
276-NUP,VRP Vidyaranyapura Bus Station,BELC11 BEL Circle (Towards Gokula),4,19,21.052631,21,392,5.357143
3F-5DN,ANEKL Anekal,ATBCR11 Attibele Circle,8,13,61.538464,454,2626,17.288652
CAPG-MRHUP,DDNKD Dodda Nekkundi (Towards Marathahalli Bridge),BTHB Marathahalli Bridge Flyover,2,3,66.66667,9,9,100.0
356-CW INFPLUP,SIA1 SI Apartment HSR Layout,ELCWG ELC Wipro Gate,3,3,100.0,420,434,96.77419
V-500CNDN,CLA Bellanduru,MTHB-1 Marathahalli Bridge,3,15,20.0,36,360,10.0
VGK-STJOHNDN,DKKSJP Doddakannalli,AGRA Agara (Towards Hebbala),4,11,36.363636,22,140,15.714286
BMT10-BGLR-DVHUP,MYL12 Mylanahalli,DVHOBS2 Devanahalli Old Bus Stand,11,17,64.70589,20,54,37.037037
PRPP-SBSUP,KTP1 Kottigepalya,KMKP Kamakshipalya,2,9,22.222223,6,45,13.333334
600-FCUP,BTM16 16th Main BTM Layout ,BMH2 Bommanahalli (Towards Electronic City),3,16,18.75,116,1462,7.934336
362UP,SBS0 Shivajinagara Bus Station,BMH0 Bommanahalli (Towards Beguru),9,11,81.818184,171,546,31.318682
